FETCH;;DECODE;;EXECUTE;;MEMORY;;WRITE-BACK;
signals;explanation;signals;explanation;signals;explanation;signals;explanation;signals;explanation
pcr;1-bit, PC reset;rfr;1-bit reg file reset;arf1;address of content of A reg for forwarding(current instr);r1r;1-bit Reg reset;m5s;1-bit mux selector for writing in regfile
pce;1-bit, PC enable;rfe;1-bit reg file enable;arf2;address of content of B reg for forwarding(current instr);r1e;1-bit Reg enable;;
npcr;1-bit, NPC reset;rfr1;1-bit reg file read enable data 1;exear;address of content of execute stage for forwarding;lmdr;1-bit LMD Reg reset;;
npce;1-bit, NPC enable;rfr2;1-bit reg file read enable data 2;memar;address of content of memory stage for forwarding;lmde;1-bit LMD Reg enable;;
irr;1-bit, IR reset;rfw;1-bit reg file write enable;alusel;alu_array-bits alu select signal;m4s;1-bit mux selector for forwarding unit;;
ire;1-bit, IR enable;be;1-bit branch unit(=1 if beqz instr else 0);m3s;1-bit mux selector between imm reg and ALU;;;;
;;jr;1-bit branch unit(=1 if jr instr else 0);aor;1-bit ALUout reg reset;;;;
;;jmp;1-bit branch unit(=1 if jmp instr else 0);aoe;1-bit ALUout reg enable;;;;
;;see;1-bit sign extender enable;mer;1-bit ME reg reset;;;;
;;ar;1-bit A Register reset;mee;1-bit ME reg enable;;;;
;;ae;1-bit A Register enable;;;;;;
;;br;1-bit B Register reset;;;;;;
;;ben;1-bit B Register enable;;;;;;
;;ir;1-bit Immediate Register reset;;;;;;
;;ie;1-bit Immediate Register enable;;;;;;
"									";;;;;;;;;
;;;NOTE: for branch insructions details see ;;;;;;
;;;block diagram in report folder in the ;;;;;;
;;;repository;;;;;;
